Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Pigeons & Planes presents: See You Next Year 2,Kenny Mason,1P2ugR200fs2J3ASKUAIMg,Bob Dylan Bus (feat. King Isis),spotify:track:1P2ugR200fs2J3ASKUAIMg,0.111,0.491,48,0.0432,0.644,0.59,0.159,1,0.41
MERCEDES (feat. Oscar Maydon),Becky G,0pkiYzXyU58nKV74xsAuwW,MERCEDES (feat. Oscar Maydon),spotify:track:0pkiYzXyU58nKV74xsAuwW,0.383,0.762,31,0.0331,0.934,0.216,3.85E-6,0,0.815
Through the Smoke,Nate Smith,5Rhs0uawH5KuifdWtphGN2,Wish I Never Felt,spotify:track:5Rhs0uawH5KuifdWtphGN2,9.82E-4,0.595,63,0.0312,0.537,0.137,0.0,1,0.788
COWBOY CARTER,Beyoncé,3wcZlxfu4i6TROB5YV83wh,THE LINDA MARTELL SHOW,spotify:track:3wcZlxfu4i6TROB5YV83wh,0.781,0.489,48,0.917,0.925,0.93,0.0,0,0.556
genre : sadboy,mgk,4kXOuF3EGVS3YGrpbfdT3n,beauty,spotify:track:4kXOuF3EGVS3YGrpbfdT3n,0.0354,0.762,73,0.0342,0.291,0.096,2.86E-5,0,0.693
COWBOY CARTER,Beyoncé,2UDARQiksl207HcSduDpov,LEVII'S JEANS,spotify:track:2UDARQiksl207HcSduDpov,0.302,0.755,84,0.0359,0.325,0.121,2.71E-6,1,0.43
garage sale,BETWEEN FRIENDS,7kPmopA5z3fOIyxhC6TgmE,Drive over me,spotify:track:7kPmopA5z3fOIyxhC6TgmE,0.0228,0.674,"",0.0647,0.773,0.348,0.0,1,0.894
COWBOY CARTER,Beyoncé,1LSWDkZxVngIpfjvMs6Q56,ALLIIGATOR TEARS,spotify:track:1LSWDkZxVngIpfjvMs6Q56,0.202,0.618,81,0.0822,0.656,0.237,0.0,1,0.651
genre : sadboy,mgk,4D8EGc1HnJRnrbFWujFDyY,struggles,spotify:track:4D8EGc1HnJRnrbFWujFDyY,0.0945,0.822,69,0.0279,0.489,0.333,0.0,1,0.643
Silence Is Loud,Nia Archives,79fu6pXCo48UYgKtvavzDI,Unfinished Business,spotify:track:79fu6pXCo48UYgKtvavzDI,0.0171,0.568,"",0.181,0.534,0.101,8.67E-4,1,0.876
"NASHVILLE, TENNESSEE",ERNEST,1rfAfRlb5Rizxxt175uUME,Dollar To Cash,spotify:track:1rfAfRlb5Rizxxt175uUME,0.0679,0.571,"",0.027,0.585,0.218,8.39E-5,1,0.754
Scarlet 2 CLAUDE,Doja Cat,6BUyevrKUVyXwk1kRMFEU0,Shutcho,spotify:track:6BUyevrKUVyXwk1kRMFEU0,0.0343,0.763,54,0.11,0.409,0.132,0.0,1,0.441
Addicted,Zerb,5ZUIPLoTLJZrPQh2kFZEUM,Addicted,spotify:track:5ZUIPLoTLJZrPQh2kFZEUM,0.0512,0.755,77,0.044,0.236,0.11,0.0,0,0.806
Where The Joy Is,We Are Messengers,5k4btpQ7fP5pJLbZasIbd1,How Great You Are,spotify:track:5k4btpQ7fP5pJLbZasIbd1,7.76E-4,0.635,33,0.0313,0.379,0.119,2.68E-5,1,0.77
Way Out Here,Riley Green,2UzdgpZgL41ZkT3TUnNZPr,Good Morning From Mexico,spotify:track:2UzdgpZgL41ZkT3TUnNZPr,0.0356,0.592,"",0.0338,0.421,0.152,1.17E-5,1,0.636
Papercuts,Linkin Park,6h1BS898UVV4VXswVVtPSt,Leave Out All The Rest,spotify:track:6h1BS898UVV4VXswVVtPSt,0.278,0.505,"",0.0354,0.216,0.295,3.17E-6,1,0.626
dos,Camilo,0rXhP1OBNTTMwrfSOzKX7U,Autodiagnóstico,spotify:track:0rXhP1OBNTTMwrfSOzKX7U,0.452,0.697,64,0.0445,0.845,0.476,0.0,1,0.628
Papercuts,Linkin Park,0IgCDTxN2YmfyQ1EoPepLn,One More Light,spotify:track:0IgCDTxN2YmfyQ1EoPepLn,0.889,0.429,"",0.0408,0.169,0.0891,0.0,1,0.207
Found Heaven,Conan Gray,4FI4Q60N6SXFvBl5OaJ0a2,Forever With Me,spotify:track:4FI4Q60N6SXFvBl5OaJ0a2,0.38,0.436,65,0.0308,0.108,0.0751,0.0,1,0.677
Bad For Me,Chayce Beckham,4xl9V1XRkO4AYAhsuolkKs,Something Worth Holding On To,spotify:track:4xl9V1XRkO4AYAhsuolkKs,0.045,0.412,35,0.0278,0.376,0.118,0.0,1,0.654
Bryson Tiller,Bryson Tiller,4bpuF6xenrFjMLA9tfKuc7,Stay Gold,spotify:track:4bpuF6xenrFjMLA9tfKuc7,0.0814,0.469,65,0.402,0.232,0.0856,0.0,0,0.738
A LA SALA,Khruangbin,4fG70GdfEBkQhH6VgTzK5r,Todavía Viva,spotify:track:4fG70GdfEBkQhH6VgTzK5r,0.168,0.676,62,0.0408,0.631,0.653,0.82,0,0.472
Bryson Tiller,Bryson Tiller,7iOrxO0nc8QANh6dNlyoEk,F4U,spotify:track:7iOrxO0nc8QANh6dNlyoEk,0.00425,0.607,60,0.218,0.337,0.357,0.0,1,0.793
11:11 (Deluxe),Chris Brown,6iikKO4UY8K4Idcnb6caCq,Views,spotify:track:6iikKO4UY8K4Idcnb6caCq,0.0477,0.715,18,0.0832,0.395,0.158,0.0,1,0.532
FINAL (Vol.2),Enrique Iglesias,3STeVMkI2wUomHxbbEOpFB,Espacio en Tu Corazón,spotify:track:3STeVMkI2wUomHxbbEOpFB,0.687,0.644,47,0.0282,0.291,0.0983,1.41E-4,1,0.511
Found Heaven,Conan Gray,52jyBtCB2MJT7U3DDo6Brj,Fainted Love,spotify:track:52jyBtCB2MJT7U3DDo6Brj,0.0216,0.629,70,0.0308,0.394,0.352,1.29E-5,1,0.743
Bryson Tiller,Bryson Tiller,229q3X3autIWuKpy35auRu,Peace Interlude,spotify:track:229q3X3autIWuKpy35auRu,0.248,0.432,65,0.106,0.297,0.253,1.46E-5,1,0.315
Silence Is Loud,Nia Archives,0IfMZi6EbntVOLwg4qASqH,Blind Devotion,spotify:track:0IfMZi6EbntVOLwg4qASqH,0.00727,0.561,"",0.0399,0.54,0.278,9.01E-4,1,0.818
The 502s,The 502s,0E4YZoaoKhRcEcFzWzZQWv,Mother's Kind Of Love,spotify:track:0E4YZoaoKhRcEcFzWzZQWv,0.732,0.821,"",0.0436,0.352,0.087,2.87E-5,1,0.492
Mary Boone,Vampire Weekend,7s1fITm4o4G2Qz8djIrYVU,Classical,spotify:track:7s1fITm4o4G2Qz8djIrYVU,0.0614,0.333,53,0.0364,0.416,0.359,7.28E-4,1,0.766
Might Delete Later,J. Cole,5RMTsrJkrtumtiIZjy7dL6,H.Y.B. (feat. Bas & Central Cee),spotify:track:5RMTsrJkrtumtiIZjy7dL6,0.366,0.775,79,0.297,0.309,0.117,0.0,0,0.491
Locked Up,Sam Hunt,5A1WGS4GA1XKmC7Qm362Vl,Last Hurrah,spotify:track:5A1WGS4GA1XKmC7Qm362Vl,0.873,0.52,49,0.0333,0.142,0.138,0.0,1,0.483
Townie,X Ambassadors,0Np34uzd2oP17sO73NTLM3,I'm Not Really Here,spotify:track:0Np34uzd2oP17sO73NTLM3,0.0134,0.705,43,0.0332,0.827,0.36,0.623,1,0.832
I'M DOING IT AGAIN BABY!,girl in red,0tduSYti0mY7p8j5AIO4Pg,I'm Back,spotify:track:0tduSYti0mY7p8j5AIO4Pg,0.919,0.584,"",0.0379,0.348,0.0952,0.00112,1,0.463
Townie,X Ambassadors,4y5lApjfksaQ35CdhVjvL5,Sunoco,spotify:track:4y5lApjfksaQ35CdhVjvL5,0.766,0.489,46,0.0303,0.111,0.149,2.31E-5,1,0.492
Mood Swings,Marcus King,0Jw0GvrJl8QIvY28wjAkdY,F*ck My Life Up Again,spotify:track:0Jw0GvrJl8QIvY28wjAkdY,0.284,0.419,47,0.059,0.558,0.114,2.17E-4,0,0.569
Papercuts,Linkin Park,6BvvBikUMSszvczjfRN3WJ,BURN IT DOWN,spotify:track:6BvvBikUMSszvczjfRN3WJ,0.0127,0.578,"",0.0507,0.562,0.153,0.0,0,0.971
favorite,Isabel LaRosa,3QJsSWa0Xo8MfaRn1gr4Be,favorite,spotify:track:3QJsSWa0Xo8MfaRn1gr4Be,0.00323,0.726,80,0.0779,0.625,0.0905,0.003,0,0.652
You Promised A Lifetime,Myles Smith,1zZhYrijmoqd20mKOlTOZP,Behind,spotify:track:1zZhYrijmoqd20mKOlTOZP,0.153,0.592,47,0.0397,0.52,0.266,4.24E-6,0,0.786
A LA SALA,Khruangbin,41c8iFH2Q8n87lkrlaRZ1X,Pon Pón,spotify:track:41c8iFH2Q8n87lkrlaRZ1X,0.213,0.613,64,0.0486,0.488,0.117,0.875,0,0.554
Bad For Me,Chayce Beckham,1HJP9YzdqsxIknkqfFj79A,Devil I’ve Been,spotify:track:1HJP9YzdqsxIknkqfFj79A,0.0714,0.542,53,0.0591,0.618,0.163,0.0,1,0.877
USB,Fred again..,1kDX084EZutVgxAJCaxwIA,Lights Out,spotify:track:1kDX084EZutVgxAJCaxwIA,0.00118,0.596,51,0.056,0.255,0.102,0.00286,1,0.814
Gamma,Gesaffelstein,5sbUFmKCKJWxilkNjR5Mdw,Mania,spotify:track:5sbUFmKCKJWxilkNjR5Mdw,1.65E-5,0.464,47,0.0659,0.225,0.0891,0.826,1,0.868
Gamma,Gesaffelstein,5Vtv2jzl6HRtlQTCzR8yjn,Tyranny,spotify:track:5Vtv2jzl6HRtlQTCzR8yjn,1.82E-4,0.496,46,0.242,0.584,0.287,0.849,0,0.876
Silence Is Loud,Nia Archives,4x0eGebBnnJgNfZ0M4v1fI,Nightmares,spotify:track:4x0eGebBnnJgNfZ0M4v1fI,0.00427,0.636,"",0.0707,0.355,0.101,0.0,0,0.828
Don't Forget Me,Maggie Rogers,4FQiOvG6qN55tdzvu37uUN,If Now Was Then,spotify:track:4FQiOvG6qN55tdzvu37uUN,0.379,0.476,"",0.107,0.708,0.149,0.0,1,0.758
Don't Forget Me,Maggie Rogers,06qDEAG26TspT2yK2NLgEZ,The Kill,spotify:track:06qDEAG26TspT2yK2NLgEZ,0.0356,0.637,"",0.0507,0.528,0.245,0.0,1,0.858
Sweet Boy,Malcolm Todd,0eAuGrXyGFYwur9ARUe7LJ,Earrings,spotify:track:0eAuGrXyGFYwur9ARUe7LJ,0.233,0.498,55,0.0524,0.547,0.365,2.8E-5,0,0.505
Don't Forget Me,Maggie Rogers,353l8u2CCNBek7Nd3Q3Txa,Drunk,spotify:track:353l8u2CCNBek7Nd3Q3Txa,0.0938,0.575,"",0.0716,0.639,0.23,0.0,0,0.828
Might Delete Later,J. Cole,3zyjnHtoi8AtiGgZFnJP7O,Stealth Mode (feat. Bas),spotify:track:3zyjnHtoi8AtiGgZFnJP7O,0.657,0.748,75,0.144,0.525,0.222,0.0,1,0.496
I'M DOING IT AGAIN BABY!,girl in red,1WFNU6zWFu5BpSiQOAVTAO,New Love,spotify:track:1WFNU6zWFu5BpSiQOAVTAO,0.00662,0.239,"",0.0421,0.358,0.488,0.00831,1,0.789
USB,Skrillex,3cl0rrKUKwNtNF3rQLnHMS,Rumble,spotify:track:3cl0rrKUKwNtNF3rQLnHMS,0.0515,0.81,52,0.0645,0.0585,0.0598,0.229,0,0.836
Spite,Omar Apollo,0XHFylA18yuwGVCfJfq4dw,Spite,spotify:track:0XHFylA18yuwGVCfJfq4dw,0.152,0.735,66,0.0853,0.604,0.136,0.0239,1,0.616
COWBOY CARTER,Beyoncé,4h6iaiMchTUHlK5ovMiJ3h,JUST FOR FUN,spotify:track:4h6iaiMchTUHlK5ovMiJ3h,0.549,0.466,80,0.0382,0.127,0.18,1.3E-5,1,0.434
Silence Is Loud,Nia Archives,439l3vOlp3r3FAuoGjZtJo,Cards On The Table,spotify:track:439l3vOlp3r3FAuoGjZtJo,0.00561,0.599,"",0.0991,0.475,0.377,1.3E-6,1,0.926
The 502s,The 502s,2aBpc6bhizVGVdi4Lw3oD4,When I Get To Heaven,spotify:track:2aBpc6bhizVGVdi4Lw3oD4,0.378,0.606,"",0.029,0.257,0.112,1.35E-5,1,0.67
Mary Boone,Vampire Weekend,36xRk01rT0gk6ApPsKmyzU,Capricorn,spotify:track:36xRk01rT0gk6ApPsKmyzU,0.137,0.567,51,0.03,0.556,0.0938,5.13E-4,1,0.637
Only God Was Above Us,Vampire Weekend,5sBrebz7XnIbwSdWgWasLr,Hope,spotify:track:5sBrebz7XnIbwSdWgWasLr,0.0432,0.52,60,0.0263,0.353,0.101,0.00372,1,0.656
MANIFESTING 20-05,Feid,0rNqDh9zWWJVTLS4VfceHP,Brickell,spotify:track:0rNqDh9zWWJVTLS4VfceHP,0.0704,0.805,58,0.0634,0.489,0.121,0.0,0,0.89
Where The Joy Is,We Are Messengers,1euPGfGlqYXKWmly5jGRk1,Glory And My Good,spotify:track:1euPGfGlqYXKWmly5jGRk1,0.0029,0.578,32,0.0331,0.359,0.0769,2.58E-5,1,0.766
I LUV IT (feat. Playboi Carti),Camila Cabello,2H2ytI7ompfNmRkI2sq8Uk,I LUV IT (feat. Playboi Carti),spotify:track:2H2ytI7ompfNmRkI2sq8Uk,0.0149,0.587,86,0.0467,0.228,0.227,3.94E-4,1,0.779
Bad For Me,Chayce Beckham,6AfHka0f7OmI8qMDqNrElk,Smokin' Weed And Drinkin' Whiskey,spotify:track:6AfHka0f7OmI8qMDqNrElk,0.0187,0.581,34,0.0356,0.568,0.173,9.26E-4,1,0.893
Papercuts,Linkin Park,0smQhuC3Zv5jgC8iy8s8fj,Crawling,spotify:track:0smQhuC3Zv5jgC8iy8s8fj,0.0348,0.576,"",0.0345,0.326,0.523,1.23E-5,1,0.659
FINAL (Vol.2),Enrique Iglesias,41NurYm4JBHtMRNRouSGaV,Love and Pain,spotify:track:41NurYm4JBHtMRNRouSGaV,0.102,0.77,49,0.0641,0.631,0.104,5.06E-5,0,0.862
Found Heaven,Conan Gray,2zg5ClMcmqNIBrHATdxftp,Lonely Dancers,spotify:track:2zg5ClMcmqNIBrHATdxftp,0.062,0.645,65,0.0271,0.723,0.187,1.05E-6,1,0.83
Pigeons & Planes presents: See You Next Year 2,Love Spells,4b8jSkAouqGw1gyw0JVN7y,223s,spotify:track:4b8jSkAouqGw1gyw0JVN7y,0.286,0.603,35,0.0284,0.529,0.524,1.26E-6,1,0.557
A LA SALA,Khruangbin,0aBXUYZnPGercCeyjriEtl,Three From Two,spotify:track:0aBXUYZnPGercCeyjriEtl,0.305,0.613,61,0.0322,0.649,0.296,0.849,1,0.439
genre : sadboy,mgk,3Y9wIDKtqCYk2d0P8GrPxc,who do i call,spotify:track:3Y9wIDKtqCYk2d0P8GrPxc,0.771,0.561,67,0.0462,0.299,0.123,3.76E-5,1,0.306
Found Heaven,Conan Gray,02lKKPDA4OmxnyNM7vPGzJ,Winner,spotify:track:02lKKPDA4OmxnyNM7vPGzJ,0.168,0.438,63,0.0283,0.182,0.362,0.0,1,0.489
un mechón de pelo,TINI,5irZOI6fACizSRid2rgHqC,ni de ti,spotify:track:5irZOI6fACizSRid2rgHqC,0.0145,0.685,"",0.358,0.446,0.272,0.0,1,0.775
Fireworks & Rollerblades,Benson Boone,4ZuIZH78dteLeq4KAApART,Intro,spotify:track:4ZuIZH78dteLeq4KAApART,0.868,0.346,68,0.0362,0.224,0.188,0.0,1,0.228
86Sentra,NxWorries,7iYoFGzYNNhoSdMBgSo5Bb,Daydreaming,spotify:track:7iYoFGzYNNhoSdMBgSo5Bb,0.268,0.701,55,0.0355,0.499,0.0777,0.146,1,0.586
Gamma,Gesaffelstein,2yuAvI1t2W7t7xl7HZNmg2,Emet,spotify:track:2yuAvI1t2W7t7xl7HZNmg2,0.0618,0.328,43,0.0971,0.0387,0.659,0.967,0,0.666
Sweet Boy,Malcolm Todd,7uEFboafVLvROPYTqdMi0n,4Me 4Me,spotify:track:7uEFboafVLvROPYTqdMi0n,0.521,0.573,44,0.0647,0.668,0.56,0.113,0,0.661
MANIFESTING 20-05,Feid,6M3Wbw9M57Kaw2wXSMyjyf,Pa Janguiar,spotify:track:6M3Wbw9M57Kaw2wXSMyjyf,0.125,0.62,56,0.0821,0.764,0.0756,0.0,0,0.805
Bryson Tiller,Bryson Tiller,6R55Qoa7SRZ744U85UdMVp,Random Access Memory [RAM] (feat. Clara La San),spotify:track:6R55Qoa7SRZ744U85UdMVp,0.485,0.449,65,0.206,0.354,0.639,2.2E-6,0,0.469
11:11 (Deluxe),Chris Brown,5WyY3xCK818VTtqndu5dyN,Won't Keep You Waiting (feat. Mario),spotify:track:5WyY3xCK818VTtqndu5dyN,0.0143,0.346,33,0.205,0.293,0.119,0.0,1,0.63
Papercuts,Linkin Park,5nB5ugvN8ica2Dy2vFPtln,Numb,spotify:track:5nB5ugvN8ica2Dy2vFPtln,7.0E-4,0.456,"",0.0417,0.249,0.546,0.0,1,0.831
Fireworks & Rollerblades,Benson Boone,51eSHglvG1RJXtL3qI5trr,Slow It Down,spotify:track:51eSHglvG1RJXtL3qI5trr,0.174,0.432,78,0.0687,0.544,0.0933,0.0,1,0.583
Fireworks & Rollerblades,Benson Boone,6VyWsk3qiz8NmHUEyVobQb,Hello Love,spotify:track:6VyWsk3qiz8NmHUEyVobQb,0.0732,0.286,67,0.0358,0.147,0.0919,0.0,1,0.448
Bryson Tiller,Bryson Tiller,0oMlowcYGs70fDAfRf8eKJ,Ciao!,spotify:track:0oMlowcYGs70fDAfRf8eKJ,0.00176,0.43,70,0.0532,0.467,0.295,2.56E-6,1,0.72
Mood Swings,Marcus King,7v4FF3DWuUfRecyXWCgoQY,Delilah,spotify:track:7v4FF3DWuUfRecyXWCgoQY,0.17,0.479,48,0.0295,0.366,0.173,0.00115,1,0.644
1+1=11,Peggy Gou,1iiePEKGQPcNXZoXCXWaea,1+1=11 - Beatless Mix,spotify:track:1iiePEKGQPcNXZoXCXWaea,0.614,0.572,48,0.0337,0.397,0.227,0.893,0,0.664
All I Ever Want Is Everything,Blu DeTiger,4pAJsiM3G2RyJ8A2mrOT20,Intro to Everything,spotify:track:4pAJsiM3G2RyJ8A2mrOT20,0.0603,0.325,34,0.0309,0.203,0.121,0.821,1,0.31
Bad For Me,Chayce Beckham,5lv9EWq0QFIbhXQEufBTSS,Addicted And Clean,spotify:track:5lv9EWq0QFIbhXQEufBTSS,0.216,0.635,39,0.0334,0.47,0.253,0.0,1,0.565
COWBOY CARTER,Beyoncé,0TsCBkrq3owPs06HP5Q9Z4,RIIVERDANCE,spotify:track:0TsCBkrq3owPs06HP5Q9Z4,0.456,0.699,81,0.186,0.43,0.25,0.0,1,0.791
Silence Is Loud,Nia Archives,0JH3rxj9e7cY8T1QFgr5mQ,Crowded Roomz,spotify:track:0JH3rxj9e7cY8T1QFgr5mQ,0.109,0.512,"",0.141,0.615,0.742,9.86E-4,0,0.963
Skin to Skin,Amira Elfeky,5JAQYehJ0F9QrLJWpjLzYB,Skin to Skin,spotify:track:5JAQYehJ0F9QrLJWpjLzYB,0.429,0.396,45,0.0276,0.364,0.125,0.827,0,0.437
My Fun,Suki Waterhouse,7INhfm4O67U4guyaV6gQkY,OMG,spotify:track:7INhfm4O67U4guyaV6gQkY,0.0367,0.548,19,0.0282,0.3,0.0733,3.57E-5,0,0.693
Sweet Boy,Malcolm Todd,3R1XKFgSo7a8paa77cZCM0,Ladygirl,spotify:track:3R1XKFgSo7a8paa77cZCM0,0.808,0.633,43,0.133,0.53,0.315,1.45E-5,1,0.515
Papercuts,Linkin Park,2gDkeQHCuHc0qcEv52G4MZ,Waiting for the End,spotify:track:2gDkeQHCuHc0qcEv52G4MZ,0.0712,0.472,"",0.145,0.328,0.769,0.0,1,0.953
A LA SALA,Khruangbin,3Bbb7sfVmXbJnuy75MidP3,A Love International,spotify:track:3Bbb7sfVmXbJnuy75MidP3,0.0106,0.571,60,0.0334,0.809,0.611,0.842,0,0.502
favorite,Isabel LaRosa,0H2hzCPL66lueCl5n9qpob,favorite sped up,spotify:track:0H2hzCPL66lueCl5n9qpob,0.00624,0.805,66,0.172,0.393,0.0874,0.145,1,0.562
All I Ever Want Is Everything,Blu DeTiger,5T2RWhA9lQCy3rPyQnjePB,Latency,spotify:track:5T2RWhA9lQCy3rPyQnjePB,3.4E-5,0.687,38,0.0415,0.979,0.116,0.378,1,0.733
Scarlet 2 CLAUDE,Doja Cat,0xvfGmEnRclgxfsnBci0wC,Balut,spotify:track:0xvfGmEnRclgxfsnBci0wC,0.183,0.778,51,0.161,0.377,0.177,0.127,1,0.626
11:11 (Deluxe),Chris Brown,3qNvPlbK23B5i6XdGVUhhq,Midnight Freak,spotify:track:3qNvPlbK23B5i6XdGVUhhq,0.111,0.459,19,0.0977,0.539,0.1,0.0,1,0.609
Country,Medium Build,4LxQxGzZj0niHD8bbZCEYn,Stick Around,spotify:track:4LxQxGzZj0niHD8bbZCEYn,0.488,0.639,54,0.048,0.483,0.0981,1.46E-6,1,0.648
Scarlet 2 CLAUDE,Doja Cat,2GZXwWJ1s1dCW5gypBPCFe,Go Off,spotify:track:2GZXwWJ1s1dCW5gypBPCFe,0.027,0.933,55,0.0585,0.552,0.118,0.00416,0,0.533
Scarlet 2 CLAUDE,Doja Cat,62cYM5sFNakxAElX0qM7sl,Often,spotify:track:62cYM5sFNakxAElX0qM7sl,0.554,0.509,52,0.475,0.593,0.11,0.108,1,0.638
Ohio Players,The Black Keys,7k9ggvboitGpFmfBJtjeqG,Read Em And Weep,spotify:track:7k9ggvboitGpFmfBJtjeqG,0.219,0.283,57,0.0521,0.712,0.111,0.0441,0,0.859
Might Delete Later,J. Cole,1yfKakY4rvI17lk20ekuRA,Crocodile Tearz,spotify:track:1yfKakY4rvI17lk20ekuRA,0.0527,0.793,81,0.0772,0.198,0.0646,0.0,0,0.492
I'M DOING IT AGAIN BABY!,girl in red,0OAye4UT21h2iC72vGVuqC,A Night To Remember,spotify:track:0OAye4UT21h2iC72vGVuqC,0.386,0.48,"",0.119,0.162,0.113,0.00137,1,0.577
Papercuts,Linkin Park,4SDuVe9TOZNCIty0qWPzGN,Breaking the Habit,spotify:track:4SDuVe9TOZNCIty0qWPzGN,0.0305,0.556,"",0.0311,0.549,0.103,0.0,0,0.839
I'M DOING IT AGAIN BABY!,girl in red,49oNAMh9RBScs4HXZJgvgl,Too Much,spotify:track:49oNAMh9RBScs4HXZJgvgl,0.233,0.53,"",0.0625,0.378,0.108,7.75E-6,0,0.609
Scarlet 2 CLAUDE,Doja Cat,7bjUc65Vt0rbIsuUd8jb57,Can't Wait,spotify:track:7bjUc65Vt0rbIsuUd8jb57,0.286,0.472,54,0.322,0.815,0.0636,3.45E-6,0,0.79
11:11 (Deluxe),Chris Brown,15pCJpWCktrDMLdwdjCnHm,Make Up Your Mind,spotify:track:15pCJpWCktrDMLdwdjCnHm,0.127,0.693,19,0.0829,0.229,0.202,0.0,1,0.538
Ehhthang Ehhthang,GloRilla,76ENXK6WuaJ07V86r3WY4g,Nun Of Dem,spotify:track:76ENXK6WuaJ07V86r3WY4g,0.0543,0.889,60,0.418,0.766,0.0833,0.0,1,0.343
11:11 (Deluxe),Chris Brown,7sDsbFNNQmG2UmRjHtO7fW,Go Girlfriend,spotify:track:7sDsbFNNQmG2UmRjHtO7fW,0.0167,0.634,36,0.0616,0.559,0.125,0.0,1,0.736
Older,Lizzy McAlpine,0FnmNoDwLL21lrL6a9kLw7,Broken Glass,spotify:track:0FnmNoDwLL21lrL6a9kLw7,0.535,0.43,62,0.0334,0.17,0.107,3.9E-4,1,0.361
Club classics / B2b,Charli XCX,6tYGrpUyqB4yao5lAs3AR4,B2b,spotify:track:6tYGrpUyqB4yao5lAs3AR4,0.00116,0.766,69,0.0492,0.36,0.0589,0.282,1,0.777
FINAL (Vol.2),Enrique Iglesias,3LmvPdmYvNEe9D7BTsonsX,Llórame Un Río,spotify:track:3LmvPdmYvNEe9D7BTsonsX,0.139,0.557,55,0.0437,0.961,0.156,2.5E-6,1,0.854
USB,Fred again..,0YbYNOaIOr9Hs4YEPBOSP5,leavemealone - Nia Archives Remix,spotify:track:0YbYNOaIOr9Hs4YEPBOSP5,0.0416,0.69,50,0.0537,0.155,0.0835,0.0157,1,0.967
Pigeons & Planes presents: See You Next Year 2,binki,3KtpnTJuOS6jkKRxYdkCxZ,Bunches,spotify:track:3KtpnTJuOS6jkKRxYdkCxZ,0.423,0.719,36,0.0888,0.149,0.11,9.51E-5,1,0.342
Papercuts,Linkin Park,3gTSFdfCW0XuYMg7xnh4WZ,In the End,spotify:track:3gTSFdfCW0XuYMg7xnh4WZ,0.00422,0.535,"",0.0471,0.347,0.0656,0.0,0,0.856
Oh Well feat. Chris Stapleton,Slash,6xvriZfsi9MZ8TAE2wqY2z,Oh Well feat. Chris Stapleton,spotify:track:6xvriZfsi9MZ8TAE2wqY2z,8.36E-5,0.493,"",0.0517,0.604,0.244,0.102,1,0.912
Scarlet 2 CLAUDE,Doja Cat,07UaJADUXYjVUKnoDBBFKR,Paint The Town Red,spotify:track:07UaJADUXYjVUKnoDBBFKR,0.255,0.864,60,0.194,0.726,0.112,3.85E-6,0,0.556
Skin to Skin,Amira Elfeky,6jIpfKekX20HJoMHxJ59KT,Everything I Do Is For You,spotify:track:6jIpfKekX20HJoMHxJ59KT,1.17E-4,0.367,40,0.0494,0.279,0.117,7.41E-5,0,0.737
Bad For Me,Chayce Beckham,4o3dt9FSIBHCzDLoH6kIwz,Whiskey Country,spotify:track:4o3dt9FSIBHCzDLoH6kIwz,0.189,0.493,36,0.0291,0.437,0.122,0.0,1,0.494
Strong,Tyler Hubbard,723Kc2KRNWOxyfAyTXQqY5,Take Me Back,spotify:track:723Kc2KRNWOxyfAyTXQqY5,0.00903,0.506,"",0.0372,0.303,0.301,0.0,1,0.821
All I Ever Want Is Everything,Blu DeTiger,3mt2AxuyKl3sXsNL84XW6L,Moxie,spotify:track:3mt2AxuyKl3sXsNL84XW6L,0.0402,0.637,33,0.282,0.426,0.158,0.0,0,0.499
Gamma,Gesaffelstein,2KtmagmimqQH01YM8Ydp4I,Lost Love,spotify:track:2KtmagmimqQH01YM8Ydp4I,0.252,0.508,45,0.0258,0.213,0.124,0.821,0,0.532
COWBOY CARTER,Beyoncé,486YUqcmF9IWPkreU0THcQ,MY ROSE,spotify:track:486YUqcmF9IWPkreU0THcQ,0.771,0.384,80,0.0418,0.59,0.0943,0.0,0,0.177
Scarlet 2 CLAUDE,Doja Cat,377fhXGnBhq50LQWzUUZW3,97,spotify:track:377fhXGnBhq50LQWzUUZW3,0.184,0.564,55,0.351,0.864,0.147,0.0,0,0.796
Only God Was Above Us,Vampire Weekend,7EBmnpMsikHSmwOoCnAKrd,Gen-X Cops,spotify:track:7EBmnpMsikHSmwOoCnAKrd,0.0081,0.52,61,0.0449,0.399,0.193,0.00283,1,0.836
Ohio Players,The Black Keys,0T6ZJttgrFfKAZs4h0MRtj,Paper Crown (feat. Beck and Juicy J),spotify:track:0T6ZJttgrFfKAZs4h0MRtj,0.0241,0.465,59,0.207,0.392,0.122,0.0,1,0.801
Older,Lizzy McAlpine,3OsrfBSArPIfUXAO6sXd8i,You Forced Me To,spotify:track:3OsrfBSArPIfUXAO6sXd8i,0.94,0.712,61,0.0279,0.471,0.132,0.00113,0,0.228
Mood Swings,Marcus King,7pYvlvXuljROQPXMFZwfAk,Bipolar Love,spotify:track:7pYvlvXuljROQPXMFZwfAk,0.0467,0.582,43,0.036,0.657,0.0753,3.21E-5,1,0.602
Pigeons & Planes presents: See You Next Year 2,See You Next Year,5fIE63XdDuUDbp5M8k6JC7,Cesspool,spotify:track:5fIE63XdDuUDbp5M8k6JC7,0.181,0.547,32,0.0526,0.528,0.241,2.19E-4,1,0.698
