Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
All I Ever Want Is Everything,Blu DeTiger,15fc3LuiHrGcDrFqFNGepQ,You Say,spotify:track:15fc3LuiHrGcDrFqFNGepQ,0.629,0.646,31,0.0384,0.536,0.135,5.16E-5,1,0.46
Scarlet 2 CLAUDE,Doja Cat,0x7SY7itloR8p37gw4anqz,Attention,spotify:track:0x7SY7itloR8p37gw4anqz,0.13,0.758,52,0.244,0.395,0.109,0.0173,1,0.587
Country,Medium Build,4koDjFHualV1u6yndB5rhD,Known By None,spotify:track:4koDjFHualV1u6yndB5rhD,0.0754,0.474,41,0.124,0.516,0.335,0.0,1,0.949
Illusion,Dua Lipa,6DPrUGpeeza8rYhYjRnOeA,Illusion - Acapella,spotify:track:6DPrUGpeeza8rYhYjRnOeA,0.792,0.72,"",0.0718,0.577,0.0705,0.0,1,0.161
Strong,Tyler Hubbard,4qW7HdFjEdpxNiO4tQ0yjt,Turn,spotify:track:4qW7HdFjEdpxNiO4tQ0yjt,0.0565,0.467,"",0.035,0.442,0.242,0.0,1,0.787
"NASHVILLE, TENNESSEE",ERNEST,0yiKkxNDYiNq1FObXS70s7,How'd We Get Here,spotify:track:0yiKkxNDYiNq1FObXS70s7,0.3,0.594,"",0.0292,0.872,0.37,0.0037,1,0.769
Keep It Up,Good Neighbours,3B7cm8w1IAfOfgQHFvAsft,Keep It Up,spotify:track:3B7cm8w1IAfOfgQHFvAsft,0.00833,0.447,64,0.117,0.344,0.211,7.27E-4,1,0.838
GOD IS GOOD,Forrest Frank,7L6ZszJY3GxrbpOWaRGcLE,GOOD DAY,spotify:track:7L6ZszJY3GxrbpOWaRGcLE,0.061,0.712,"",0.144,0.716,0.145,0.0,1,0.682
GOD IS GOOD,Forrest Frank,7orzaO1dvJrphGPKCoKTbJ,LOW KEY,spotify:track:7orzaO1dvJrphGPKCoKTbJ,0.374,0.807,"",0.137,0.755,0.0995,0.0,1,0.654
overseas,Ken Carson,7ovB5FvDwq1g7AG9ICYaNY,overseas,spotify:track:7ovB5FvDwq1g7AG9ICYaNY,0.00262,0.464,"",0.0313,0.205,0.131,0.0,0,0.827
Pandora,Wisp,7J6Kw5l4RZVTYhcvwp6ftM,Mimi,spotify:track:7J6Kw5l4RZVTYhcvwp6ftM,0.02,0.381,46,0.0317,0.0654,0.0923,0.718,1,0.564
Sweet Boy,Malcolm Todd,4RYRUDApJsPKTJIvBUz6a5,Hot in NY,spotify:track:4RYRUDApJsPKTJIvBUz6a5,0.204,0.859,41,0.0442,0.838,0.222,0.034,0,0.679
"Love You, Miss You, Mean It",Luke Bryan,2b98AhAxuK5i4YUHaQ7eQR,"Love You, Miss You, Mean It",spotify:track:2b98AhAxuK5i4YUHaQ7eQR,0.0185,0.45,63,0.0419,0.591,0.0858,2.74E-6,1,0.812
Where The Joy Is,We Are Messengers,1hmvM542L5jSQ6ZJjB7jTc,A Thousand Times,spotify:track:1hmvM542L5jSQ6ZJjB7jTc,0.00338,0.567,35,0.0538,0.446,0.294,7.99E-5,1,0.807
favorite,Isabel LaRosa,10PsEwmFKLK31Nqc1utxIK,favorite - english,spotify:track:10PsEwmFKLK31Nqc1utxIK,0.00454,0.729,67,0.139,0.569,0.0913,0.00311,0,0.621
A LA SALA,Khruangbin,5DBZcCoAThn4PTFJaTdYgC,Caja de la Sala,spotify:track:5DBZcCoAThn4PTFJaTdYgC,0.963,0.196,60,0.0375,0.0347,0.118,0.909,0,0.0364
Found Heaven,Conan Gray,4h2KgbKNdOSVC3IJnFOFoV,Alley Rose,spotify:track:4h2KgbKNdOSVC3IJnFOFoV,0.00681,0.223,66,0.037,0.281,0.109,0.0,1,0.658
